user_id,variant,country,device_type,num_questions_asked,avg_word_count,quality_answer_rate,assignment_date
85,control,BR,mobile,3,21.7,1.0,2026-06-05
86,treatment,IN,desktop,7,51.1,0.571,2026-06-01
87,control,IN,mobile,5,32.6,0.8,2026-06-03
88,treatment,IN,mobile,6,64.2,1.0,2026-06-05
89,treatment,BR,mobile,0,,,2026-06-05
90,treatment,US,mobile,2,64.5,1.0,2026-06-04
91,treatment,CA,desktop,2,25.5,1.0,2026-06-02
92,treatment,IN,mobile,3,66.3,0.667,2026-06-05
93,treatment,IN,mobile,1,66.0,0.0,2026-06-02
94,treatment,DE,mobile,0,,,2026-06-05
95,control,IN,mobile,1,44.0,0.0,2026-06-01
96,control,US,desktop,3,28.3,0.667,2026-06-01
97,control,IN,mobile,5,56.0,0.6,2026-06-05
98,control,BR,desktop,2,51.5,1.0,2026-06-03
99,control,AU,mobile,11,29.0,0.727,2026-06-05
100,treatment,US,mobile,1,64.0,1.0,2026-06-03
101,treatment,IN,desktop,7,31.6,0.571,2026-06-03
102,control,US,mobile,10,41.1,0.7,2026-06-05
103,treatment,US,desktop,1,33.0,1.0,2026-06-03
104,control,US,desktop,1,20.0,0.0,2026-06-03
105,treatment,US,mobile,2,80.0,1.0,2026-06-02
106,treatment,IN,tablet,6,39.3,1.0,2026-06-05
107,control,AU,mobile,4,23.0,0.75,2026-06-01
108,control,US,mobile,2,45.0,0.5,2026-06-02
109,treatment,PH,tablet,0,,,2026-06-04
110,control,IN,desktop,8,30.1,0.875,2026-06-02
111,treatment,DE,desktop,2,81.0,1.0,2026-06-01
112,control,IN,mobile,1,111.0,0.0,2026-06-03
113,control,DE,mobile,5,37.2,1.0,2026-06-04
114,control,PH,mobile,1,45.0,1.0,2026-06-05
115,treatment,US,mobile,1,33.0,0.0,2026-06-01
116,control,IN,desktop,2,26.0,0.5,2026-06-02
117,control,CA,mobile,1,28.0,1.0,2026-06-01
118,treatment,PH,desktop,4,39.0,1.0,2026-06-04
119,treatment,IN,mobile,4,62.0,0.75,2026-06-05
120,treatment,CA,desktop,2,43.0,0.0,2026-06-02
121,control,IN,mobile,2,23.0,1.0,2026-06-05
122,control,GB,mobile,5,34.8,0.8,2026-06-05
123,control,GB,desktop,3,32.7,1.0,2026-06-03
124,treatment,PH,mobile,1,38.0,1.0,2026-06-04
125,control,CA,mobile,6,21.2,0.5,2026-06-05
126,control,US,mobile,4,49.0,0.5,2026-06-03
127,treatment,IN,mobile,1,59.0,1.0,2026-06-05
128,control,PH,desktop,1,22.0,1.0,2026-06-03
129,control,AU,desktop,5,34.2,0.6,2026-06-02
130,treatment,US,mobile,1,32.0,0.0,2026-06-01
131,treatment,BR,tablet,10,49.6,0.5,2026-06-03
132,control,CA,desktop,3,41.7,0.667,2026-06-05
133,treatment,IN,desktop,2,20.5,1.0,2026-06-05
134,treatment,US,mobile,2,28.0,0.5,2026-06-03
135,treatment,US,mobile,5,21.4,0.8,2026-06-05
136,control,PH,desktop,6,30.0,1.0,2026-06-02
137,control,CA,desktop,3,28.7,0.667,2026-06-02
138,treatment,US,mobile,6,83.3,0.667,2026-06-02
139,treatment,US,mobile,3,57.7,0.667,2026-06-03
140,treatment,US,desktop,1,56.0,0.0,2026-06-05
141,treatment,AU,mobile,4,28.8,0.0,2026-06-01
142,treatment,IN,tablet,0,,,2026-06-03
143,treatment,DE,mobile,6,53.3,0.833,2026-06-02
144,treatment,PH,tablet,0,,,2026-06-05
145,control,GB,desktop,0,,,2026-06-02
146,treatment,US,mobile,2,18.5,1.0,2026-06-04
147,treatment,BR,mobile,0,,,2026-06-04
148,treatment,GB,tablet,6,55.7,0.833,2026-06-05
149,treatment,US,desktop,2,73.5,1.0,2026-06-05
150,control,US,desktop,4,23.2,0.25,2026-06-02
151,treatment,US,desktop,5,33.8,0.4,2026-06-03
152,treatment,AU,mobile,1,67.0,1.0,2026-06-01
153,treatment,GB,desktop,3,104.7,0.333,2026-06-05
154,control,PH,desktop,1,18.0,1.0,2026-06-02
155,treatment,IN,desktop,4,56.0,0.75,2026-06-04
156,treatment,US,desktop,5,44.6,0.6,2026-06-01
157,control,US,mobile,1,64.0,1.0,2026-06-02
158,treatment,IN,mobile,2,52.5,1.0,2026-06-04
159,control,IN,desktop,2,56.5,0.5,2026-06-01
160,control,IN,mobile,1,45.0,1.0,2026-06-05
161,control,DE,mobile,7,27.1,0.857,2026-06-04
162,treatment,US,mobile,2,55.0,1.0,2026-06-04
163,treatment,IN,mobile,3,39.3,1.0,2026-06-04
164,control,CA,mobile,1,36.0,1.0,2026-06-04
165,control,US,mobile,2,37.0,1.0,2026-06-03
166,control,PH,mobile,5,37.0,0.8,2026-06-04
167,control,GB,desktop,4,39.5,0.75,2026-06-05
168,treatment,US,tablet,0,,,2026-06-05
169,control,US,mobile,2,17.0,1.0,2026-06-02
170,treatment,US,mobile,3,52.7,0.667,2026-06-03
171,control,IN,tablet,6,32.0,0.667,2026-06-03
172,treatment,PH,mobile,3,40.0,1.0,2026-06-04
173,treatment,PH,mobile,1,37.0,1.0,2026-06-03
174,treatment,US,tablet,4,56.2,0.75,2026-06-01
175,control,BR,desktop,1,16.0,1.0,2026-06-02
176,treatment,CA,desktop,1,77.0,1.0,2026-06-04
177,treatment,PH,desktop,2,70.0,1.0,2026-06-03
178,control,US,mobile,3,37.7,0.667,2026-06-03
179,treatment,US,desktop,1,14.0,1.0,2026-06-03
180,treatment,US,mobile,0,,,2026-06-02
181,treatment,GB,desktop,5,55.4,1.0,2026-06-03
182,control,US,mobile,0,,,2026-06-04
183,control,PH,mobile,10,32.0,0.6,2026-06-02
184,control,US,desktop,8,29.0,0.5,2026-06-04
185,treatment,US,desktop,3,52.7,0.667,2026-06-03
186,treatment,US,mobile,5,58.0,1.0,2026-06-02
187,control,AU,mobile,2,35.0,0.5,2026-06-01
188,treatment,IN,mobile,1,151.0,1.0,2026-06-01
189,treatment,IN,desktop,1,61.0,0.0,2026-06-05
190,control,US,mobile,1,31.0,1.0,2026-06-03
191,control,US,mobile,7,39.4,0.714,2026-06-05
192,control,US,mobile,7,24.4,0.857,2026-06-05
193,treatment,US,mobile,6,50.2,0.667,2026-06-04
194,control,GB,mobile,2,52.5,0.5,2026-06-03
195,control,CA,mobile,2,28.5,0.5,2026-06-02
196,treatment,BR,mobile,9,69.2,0.778,2026-06-02
197,control,US,desktop,0,,,2026-06-03
198,treatment,US,mobile,8,36.6,0.75,2026-06-01
199,control,US,desktop,1,15.0,1.0,2026-06-04
200,control,IN,mobile,2,40.5,1.0,2026-06-01
201,control,US,desktop,1,84.0,1.0,2026-06-01
202,control,US,desktop,5,36.0,0.6,2026-06-05
203,control,US,mobile,0,,,2026-06-02
204,control,US,tablet,5,30.6,1.0,2026-06-01
205,treatment,AU,mobile,4,93.5,0.75,2026-06-01
206,control,AU,desktop,1,18.0,0.0,2026-06-02
207,control,BR,mobile,1,52.0,0.0,2026-06-02
208,treatment,IN,mobile,2,50.0,1.0,2026-06-05
209,control,BR,mobile,6,28.8,0.667,2026-06-01
210,control,GB,mobile,1,19.0,1.0,2026-06-04
211,treatment,CA,mobile,1,50.0,1.0,2026-06-02
212,control,IN,mobile,1,47.0,1.0,2026-06-02
213,treatment,US,tablet,0,,,2026-06-01
214,control,BR,desktop,0,,,2026-06-05
215,treatment,DE,desktop,2,33.5,0.5,2026-06-01
216,control,GB,desktop,4,19.0,0.75,2026-06-04
217,treatment,IN,mobile,8,34.2,0.875,2026-06-05
218,treatment,AU,mobile,4,40.8,1.0,2026-06-01
219,treatment,DE,mobile,3,53.7,0.667,2026-06-04
220,control,US,mobile,0,,,2026-06-01
221,treatment,GB,desktop,7,43.9,0.714,2026-06-04
222,control,IN,mobile,6,27.8,1.0,2026-06-03
223,treatment,DE,desktop,1,24.0,1.0,2026-06-04
224,control,GB,desktop,0,,,2026-06-02
225,treatment,US,mobile,1,22.0,1.0,2026-06-04
226,control,US,mobile,1,55.0,0.0,2026-06-01
227,control,CA,mobile,0,,,2026-06-03
228,treatment,IN,mobile,4,35.8,0.75,2026-06-03
229,control,IN,mobile,7,30.4,0.857,2026-06-02
230,control,US,tablet,2,23.0,1.0,2026-06-02
231,control,GB,desktop,6,38.3,1.0,2026-06-05
232,control,IN,mobile,1,17.0,0.0,2026-06-05
233,treatment,IN,mobile,4,28.8,0.75,2026-06-02
234,control,US,desktop,1,29.0,1.0,2026-06-05
235,treatment,IN,desktop,3,46.7,1.0,2026-06-01
236,control,DE,mobile,2,67.5,0.5,2026-06-03
237,treatment,PH,mobile,2,62.5,1.0,2026-06-01
238,treatment,AU,tablet,4,34.8,1.0,2026-06-05
239,treatment,CA,mobile,2,30.5,1.0,2026-06-02
240,control,IN,desktop,4,45.0,0.75,2026-06-02
241,treatment,US,mobile,2,56.5,0.5,2026-06-03
242,treatment,US,mobile,4,63.8,0.75,2026-06-04
243,treatment,US,mobile,4,48.5,0.5,2026-06-01
244,control,IN,desktop,2,20.5,0.5,2026-06-05
245,treatment,CA,mobile,6,33.2,0.5,2026-06-01
246,control,US,mobile,13,32.4,0.462,2026-06-01
247,control,US,tablet,3,59.7,0.667,2026-06-04
248,treatment,IN,desktop,1,28.0,1.0,2026-06-01
249,control,PH,mobile,8,26.1,0.625,2026-06-04
250,control,IN,desktop,7,35.1,0.857,2026-06-03
251,treatment,AU,mobile,3,48.7,0.667,2026-06-01
252,treatment,BR,mobile,1,61.0,1.0,2026-06-05
253,control,BR,mobile,2,24.0,0.5,2026-06-05
254,control,US,mobile,1,46.0,1.0,2026-06-02
255,treatment,US,mobile,3,53.3,0.667,2026-06-02
256,treatment,US,desktop,3,78.7,0.667,2026-06-03
257,control,PH,mobile,3,47.3,0.667,2026-06-05
258,treatment,AU,mobile,4,38.0,0.5,2026-06-05
259,control,PH,mobile,3,45.7,1.0,2026-06-05
260,control,US,desktop,1,36.0,0.0,2026-06-02
261,control,GB,mobile,0,,,2026-06-04
262,treatment,IN,mobile,0,,,2026-06-03
263,treatment,US,mobile,4,30.0,0.75,2026-06-03
264,control,IN,mobile,1,17.0,1.0,2026-06-01
265,control,US,mobile,0,,,2026-06-03
266,control,US,desktop,2,27.5,0.5,2026-06-02
267,treatment,BR,desktop,1,72.0,1.0,2026-06-03
268,treatment,GB,desktop,4,53.0,0.75,2026-06-01
269,treatment,US,mobile,1,30.0,1.0,2026-06-02
270,treatment,PH,desktop,7,52.9,0.143,2026-06-04
271,treatment,US,mobile,0,,,2026-06-04
272,treatment,IN,mobile,1,19.0,0.0,2026-06-03
273,control,BR,desktop,1,45.0,1.0,2026-06-01
274,control,US,desktop,6,33.7,0.167,2026-06-02
275,treatment,US,mobile,4,39.8,0.5,2026-06-04
276,treatment,PH,mobile,5,40.2,0.6,2026-06-04
277,treatment,US,desktop,7,64.6,0.857,2026-06-03
278,treatment,US,tablet,5,33.6,0.6,2026-06-05
279,treatment,US,desktop,5,55.2,0.6,2026-06-02
280,control,CA,mobile,2,45.0,1.0,2026-06-03
281,control,GB,desktop,3,21.3,0.667,2026-06-04
282,control,GB,mobile,1,20.0,1.0,2026-06-02
283,treatment,US,mobile,0,,,2026-06-01
284,treatment,US,desktop,7,58.4,0.714,2026-06-05
285,control,GB,mobile,5,27.4,0.8,2026-06-04
286,control,US,mobile,2,53.0,1.0,2026-06-03
287,treatment,CA,desktop,2,48.0,0.5,2026-06-02
288,treatment,IN,desktop,3,47.7,0.667,2026-06-04
289,treatment,DE,tablet,1,31.0,1.0,2026-06-04
290,treatment,US,mobile,2,49.5,0.5,2026-06-05
291,control,PH,tablet,4,23.5,0.75,2026-06-02
292,treatment,US,mobile,1,26.0,1.0,2026-06-03
293,control,IN,tablet,2,33.0,0.5,2026-06-04
294,control,US,mobile,2,21.5,0.5,2026-06-01
295,control,DE,mobile,4,48.2,0.75,2026-06-02
296,control,PH,mobile,3,29.3,1.0,2026-06-04
297,treatment,AU,mobile,3,40.7,1.0,2026-06-01
298,treatment,BR,desktop,1,36.0,1.0,2026-06-02
299,control,CA,mobile,1,53.0,1.0,2026-06-02
300,control,IN,tablet,4,23.5,0.5,2026-06-02
301,control,BR,desktop,0,,,2026-06-01
302,treatment,GB,desktop,1,18.0,1.0,2026-06-03
303,treatment,IN,mobile,3,46.0,0.667,2026-06-03
304,control,DE,mobile,1,20.0,1.0,2026-06-04
305,treatment,GB,mobile,3,65.7,0.333,2026-06-04
306,treatment,DE,desktop,5,64.0,1.0,2026-06-02
307,control,DE,desktop,1,23.0,0.0,2026-06-03
308,control,US,mobile,3,36.3,1.0,2026-06-05
309,treatment,IN,desktop,6,46.5,0.667,2026-06-03
310,control,IN,mobile,2,41.0,0.5,2026-06-04
311,treatment,IN,mobile,9,53.4,0.556,2026-06-02
312,control,BR,desktop,5,23.2,0.6,2026-06-02
313,control,PH,mobile,2,68.5,0.5,2026-06-05
314,treatment,DE,mobile,2,51.5,0.0,2026-06-01
315,treatment,IN,mobile,4,32.0,0.5,2026-06-03
316,control,CA,mobile,7,49.4,0.857,2026-06-02
317,treatment,US,desktop,7,40.4,0.714,2026-06-01
318,control,IN,mobile,6,27.7,0.833,2026-06-05
319,control,CA,mobile,2,24.0,1.0,2026-06-05
320,treatment,US,desktop,2,70.5,0.5,2026-06-04
321,control,IN,desktop,3,35.0,0.667,2026-06-03
322,control,BR,mobile,2,24.0,0.0,2026-06-05
323,control,IN,mobile,2,23.0,0.5,2026-06-01
324,control,IN,mobile,5,32.6,0.6,2026-06-04
325,treatment,IN,desktop,7,40.9,0.714,2026-06-01
326,treatment,BR,desktop,1,23.0,1.0,2026-06-01
327,control,BR,mobile,1,39.0,0.0,2026-06-04
328,treatment,IN,mobile,1,189.0,1.0,2026-06-01
329,control,IN,mobile,1,40.0,1.0,2026-06-01
330,control,BR,mobile,13,29.3,0.692,2026-06-05
331,control,BR,mobile,2,26.0,1.0,2026-06-01
332,treatment,IN,desktop,4,35.5,0.75,2026-06-02
333,control,BR,desktop,0,,,2026-06-05
334,control,GB,tablet,4,32.0,0.5,2026-06-05
335,treatment,IN,desktop,11,59.5,0.818,2026-06-03
336,control,US,mobile,1,84.0,1.0,2026-06-05
337,control,US,mobile,5,21.8,0.8,2026-06-03
338,control,DE,mobile,4,35.8,0.5,2026-06-05
339,treatment,IN,desktop,0,,,2026-06-03
340,treatment,PH,mobile,0,,,2026-06-05
341,control,US,mobile,5,29.6,0.4,2026-06-01
342,control,GB,desktop,1,57.0,1.0,2026-06-02
343,treatment,AU,mobile,1,49.0,1.0,2026-06-04
344,treatment,US,desktop,2,42.0,1.0,2026-06-05
345,control,US,desktop,4,30.0,0.75,2026-06-05
346,treatment,IN,mobile,0,,,2026-06-04
347,treatment,IN,mobile,2,37.5,0.5,2026-06-01
348,treatment,IN,mobile,2,49.0,0.5,2026-06-01
349,treatment,US,mobile,3,42.0,0.333,2026-06-03
350,treatment,CA,mobile,7,55.9,0.714,2026-06-05
351,control,IN,mobile,1,29.0,1.0,2026-06-02
352,treatment,IN,mobile,1,57.0,0.0,2026-06-05
353,control,DE,mobile,2,40.0,0.5,2026-06-05
354,control,BR,mobile,7,22.3,0.714,2026-06-05
355,control,GB,tablet,4,26.0,0.75,2026-06-01
356,treatment,US,desktop,5,58.6,0.6,2026-06-04
357,treatment,GB,mobile,0,,,2026-06-05
358,control,AU,mobile,1,19.0,0.0,2026-06-05
359,control,AU,desktop,3,25.0,0.667,2026-06-04
360,control,US,desktop,0,,,2026-06-03
361,control,IN,mobile,2,36.0,1.0,2026-06-01
362,treatment,PH,mobile,8,52.8,0.75,2026-06-05
363,control,US,mobile,4,35.8,0.25,2026-06-05
364,control,BR,mobile,9,35.4,0.667,2026-06-02
365,control,US,mobile,7,27.9,0.571,2026-06-02
366,control,US,mobile,5,37.4,0.6,2026-06-05
367,control,PH,mobile,6,29.2,0.667,2026-06-03
368,control,AU,mobile,3,24.0,0.667,2026-06-04
369,control,BR,mobile,5,31.4,0.8,2026-06-03
370,treatment,IN,mobile,3,48.3,0.667,2026-06-03
371,treatment,US,desktop,0,,,2026-06-04
372,control,PH,desktop,1,47.0,1.0,2026-06-02
373,control,CA,mobile,3,53.3,0.667,2026-06-05
374,control,IN,mobile,3,35.3,0.333,2026-06-03
375,treatment,US,desktop,1,43.0,1.0,2026-06-04
376,control,IN,mobile,0,,,2026-06-01
377,control,PH,mobile,0,,,2026-06-02
378,control,IN,desktop,2,19.5,1.0,2026-06-05
379,control,AU,mobile,1,16.0,1.0,2026-06-01
380,control,US,mobile,5,31.4,1.0,2026-06-03
381,treatment,GB,mobile,1,48.0,1.0,2026-06-04
382,treatment,US,tablet,1,75.0,0.0,2026-06-04
383,treatment,CA,desktop,1,93.0,1.0,2026-06-05
384,control,GB,desktop,3,25.3,1.0,2026-06-01
385,control,US,mobile,1,39.0,1.0,2026-06-02
386,control,US,desktop,6,29.7,0.5,2026-06-02
387,control,IN,desktop,6,32.0,0.667,2026-06-05
388,treatment,BR,mobile,0,,,2026-06-02
389,control,CA,mobile,4,40.0,0.75,2026-06-05
390,control,DE,mobile,0,,,2026-06-03
391,treatment,US,mobile,2,57.5,0.5,2026-06-02
392,treatment,US,mobile,0,,,2026-06-01
393,treatment,AU,mobile,1,52.0,0.0,2026-06-01
394,treatment,DE,mobile,3,51.3,0.667,2026-06-02
395,control,IN,mobile,2,21.0,1.0,2026-06-01
396,control,US,desktop,0,,,2026-06-04
397,control,CA,mobile,2,42.0,0.0,2026-06-04
398,treatment,GB,mobile,5,43.0,0.8,2026-06-03
399,treatment,PH,desktop,3,51.0,0.667,2026-06-02
400,control,BR,desktop,3,27.0,1.0,2026-06-04
401,control,AU,desktop,5,27.8,0.4,2026-06-02
402,control,DE,mobile,1,11.0,1.0,2026-06-03
403,control,US,mobile,5,29.6,0.8,2026-06-02
404,control,IN,mobile,2,28.5,1.0,2026-06-03
405,treatment,BR,mobile,1,24.0,1.0,2026-06-05
406,control,US,tablet,0,,,2026-06-01
407,control,US,mobile,1,7.0,0.0,2026-06-01
408,control,US,mobile,0,,,2026-06-01
409,treatment,GB,mobile,3,55.0,1.0,2026-06-01
410,control,IN,mobile,3,65.7,1.0,2026-06-04
411,treatment,US,mobile,2,27.0,0.5,2026-06-05
412,control,CA,desktop,2,77.0,0.5,2026-06-04
413,treatment,GB,mobile,0,,,2026-06-03
414,control,US,mobile,1,14.0,1.0,2026-06-05
415,treatment,PH,desktop,9,34.1,0.667,2026-06-05
416,control,PH,mobile,12,40.3,0.917,2026-06-02
417,treatment,US,desktop,13,55.4,0.846,2026-06-02
418,treatment,BR,tablet,0,,,2026-06-04
419,treatment,GB,mobile,2,38.0,0.5,2026-06-03
420,treatment,AU,desktop,5,47.2,0.6,2026-06-02
421,control,GB,mobile,2,22.5,0.5,2026-06-03
422,control,PH,mobile,3,24.7,0.667,2026-06-01
423,treatment,US,mobile,1,69.0,1.0,2026-06-01
424,treatment,DE,mobile,16,45.8,0.5,2026-06-04
425,control,BR,desktop,3,40.7,0.333,2026-06-03
426,treatment,US,mobile,2,51.0,0.5,2026-06-04
427,treatment,IN,mobile,5,50.2,0.8,2026-06-05
428,control,US,mobile,1,35.0,0.0,2026-06-05
429,treatment,US,mobile,1,62.0,1.0,2026-06-04
430,control,GB,mobile,6,32.8,0.833,2026-06-03
431,control,US,mobile,2,27.0,0.5,2026-06-01
432,treatment,IN,mobile,0,,,2026-06-04
433,treatment,US,mobile,1,35.0,1.0,2026-06-05
434,control,GB,mobile,6,25.5,0.667,2026-06-03
435,control,PH,mobile,2,18.5,1.0,2026-06-02
436,control,GB,desktop,9,25.1,1.0,2026-06-03
437,control,GB,mobile,2,18.5,1.0,2026-06-01
438,control,IN,mobile,6,43.5,0.5,2026-06-01
439,control,IN,mobile,4,47.2,0.5,2026-06-01
440,control,US,mobile,2,37.0,1.0,2026-06-04
441,control,DE,desktop,2,36.0,1.0,2026-06-03
442,treatment,GB,mobile,8,62.9,0.75,2026-06-04
443,treatment,US,tablet,0,,,2026-06-01
444,treatment,IN,desktop,6,41.2,1.0,2026-06-03
445,treatment,IN,mobile,3,40.0,0.333,2026-06-05
446,control,PH,desktop,2,17.5,1.0,2026-06-01
447,treatment,US,mobile,2,52.5,0.5,2026-06-01
448,control,BR,mobile,1,15.0,1.0,2026-06-03
449,control,PH,mobile,2,120.0,1.0,2026-06-03
450,treatment,BR,mobile,5,42.2,0.8,2026-06-01
451,control,US,mobile,1,58.0,1.0,2026-06-01
452,control,IN,mobile,1,38.0,1.0,2026-06-05
453,treatment,AU,mobile,6,42.7,0.333,2026-06-03
454,control,US,desktop,3,36.0,0.667,2026-06-04
455,treatment,BR,tablet,2,51.0,1.0,2026-06-03
456,control,IN,desktop,4,43.2,0.75,2026-06-03
457,treatment,IN,mobile,3,45.3,0.667,2026-06-01
458,control,IN,mobile,1,27.0,1.0,2026-06-02
459,control,IN,desktop,6,36.2,1.0,2026-06-05
460,control,US,tablet,6,29.5,1.0,2026-06-02
461,treatment,US,mobile,4,42.8,0.5,2026-06-03
462,treatment,CA,desktop,2,30.0,1.0,2026-06-03
463,control,IN,mobile,2,65.0,0.0,2026-06-05
464,control,US,desktop,0,,,2026-06-03
465,treatment,CA,mobile,2,33.0,0.0,2026-06-05
466,control,US,desktop,0,,,2026-06-02
467,control,US,tablet,3,17.0,0.333,2026-06-01
468,control,PH,desktop,0,,,2026-06-05
469,treatment,CA,mobile,2,42.5,0.5,2026-06-01
470,treatment,AU,desktop,7,52.1,0.429,2026-06-05
471,control,IN,desktop,4,61.8,0.5,2026-06-02
472,treatment,AU,desktop,3,55.3,1.0,2026-06-02
473,control,PH,mobile,1,39.0,0.0,2026-06-04
474,treatment,AU,desktop,0,,,2026-06-05
475,treatment,IN,mobile,2,35.5,0.5,2026-06-02
476,control,CA,mobile,6,31.0,0.833,2026-06-02
477,treatment,IN,mobile,1,22.0,0.0,2026-06-01
478,treatment,AU,mobile,1,18.0,0.0,2026-06-04
479,control,IN,mobile,0,,,2026-06-04
480,treatment,BR,desktop,6,50.8,1.0,2026-06-01
481,control,GB,mobile,4,40.8,1.0,2026-06-04
482,treatment,US,mobile,3,39.0,0.333,2026-06-05
483,control,DE,mobile,8,38.4,0.875,2026-06-05
484,control,IN,desktop,6,36.5,0.667,2026-06-05
485,treatment,US,mobile,2,39.0,0.0,2026-06-03
486,control,US,desktop,2,20.0,0.5,2026-06-03
487,control,US,mobile,0,,,2026-06-02
488,treatment,US,mobile,0,,,2026-06-03
489,treatment,US,mobile,8,59.9,0.625,2026-06-02
490,treatment,US,mobile,3,60.0,0.667,2026-06-04
491,control,CA,desktop,10,48.0,0.6,2026-06-01
492,treatment,CA,mobile,4,64.2,0.5,2026-06-05
493,control,IN,desktop,3,15.0,0.667,2026-06-03
494,control,BR,tablet,5,22.0,0.2,2026-06-03
495,control,IN,mobile,2,44.0,1.0,2026-06-03
496,treatment,US,mobile,1,26.0,0.0,2026-06-01
497,treatment,US,mobile,5,35.2,0.4,2026-06-04
498,treatment,IN,mobile,5,40.4,0.4,2026-06-03
