user_id,variant,assignment_date,num_questions_asked_alltime,avg_word_count_alltime,quality_answer_rate_alltime,num_questions_post,avg_word_count_post,quality_answer_rate_post,asked_any_post,asked_any_alltime
113,control,2026-06-04,5,37.2,1,5,37.2,1,TRUE,TRUE
114,control,2026-06-05,1,45,1,1,45,1,TRUE,TRUE
115,treatment,2026-06-01,1,33,0,1,33,0,TRUE,TRUE
116,control,2026-06-02,2,26,0.5,2,26,0.5,TRUE,TRUE
117,control,2026-06-01,1,28,1,1,28,1,TRUE,TRUE
118,treatment,2026-06-04,4,39,1,3,35,1,TRUE,TRUE
119,treatment,2026-06-05,4,62,0.75,3,69,0.6666666666666666,TRUE,TRUE
120,treatment,2026-06-02,2,43,0,1,47,0,TRUE,TRUE
121,control,2026-06-05,2,23,1,1,17,1,TRUE,TRUE
122,control,2026-06-05,5,34.8,0.8,4,31.25,0.75,TRUE,TRUE
123,control,2026-06-03,3,32.7,1,3,32.666666666666664,1,TRUE,TRUE
124,treatment,2026-06-04,1,38,1,1,38,1,TRUE,TRUE
125,control,2026-06-05,6,21.2,0.5,4,18.25,0.5,TRUE,TRUE
126,control,2026-06-03,4,49,0.5,4,49,0.5,TRUE,TRUE
127,treatment,2026-06-05,1,59,1,1,59,1,TRUE,TRUE
128,control,2026-06-03,1,22,1,1,22,1,TRUE,TRUE
129,control,2026-06-02,5,34.2,0.6,5,34.2,0.6,TRUE,TRUE
130,treatment,2026-06-01,1,32,0,1,32,0,TRUE,TRUE
131,treatment,2026-06-03,10,49.6,0.5,9,49.22222222222222,0.4444444444444444,TRUE,TRUE
132,control,2026-06-05,3,41.7,0.667,3,41.666666666666664,0.6666666666666666,TRUE,TRUE
133,treatment,2026-06-05,2,20.5,1,2,20.5,1,TRUE,TRUE
134,treatment,2026-06-03,2,28,0.5,2,28,0.5,TRUE,TRUE
135,treatment,2026-06-05,5,21.4,0.8,5,21.4,0.8,TRUE,TRUE
136,control,2026-06-02,6,30,1,6,30,1,TRUE,TRUE
137,control,2026-06-02,3,28.7,0.667,3,28.666666666666668,0.6666666666666666,TRUE,TRUE
138,treatment,2026-06-02,6,83.3,0.667,6,83.33333333333333,0.6666666666666666,TRUE,TRUE
139,treatment,2026-06-03,3,57.7,0.667,2,59.5,0.5,TRUE,TRUE
140,treatment,2026-06-05,1,56,0,1,56,0,TRUE,TRUE
141,treatment,2026-06-01,4,28.8,0,4,28.75,0,TRUE,TRUE
142,treatment,2026-06-03,0,NA,NA,0,NA,NA,FALSE,FALSE
143,treatment,2026-06-02,6,53.3,0.833,6,53.333333333333336,0.8333333333333334,TRUE,TRUE
144,treatment,2026-06-05,0,NA,NA,0,NA,NA,FALSE,FALSE
145,control,2026-06-02,0,NA,NA,0,NA,NA,FALSE,FALSE
146,treatment,2026-06-04,2,18.5,1,2,18.5,1,TRUE,TRUE
147,treatment,2026-06-04,0,NA,NA,0,NA,NA,FALSE,FALSE
148,treatment,2026-06-05,6,55.7,0.833,6,55.666666666666664,0.8333333333333334,TRUE,TRUE
149,treatment,2026-06-05,2,73.5,1,2,73.5,1,TRUE,TRUE
150,control,2026-06-02,4,23.2,0.25,4,23.25,0.25,TRUE,TRUE
151,treatment,2026-06-03,5,33.8,0.4,5,33.8,0.4,TRUE,TRUE
152,treatment,2026-06-01,1,67,1,1,67,1,TRUE,TRUE
153,treatment,2026-06-05,3,104.7,0.333,3,104.66666666666667,0.3333333333333333,TRUE,TRUE
154,control,2026-06-02,1,18,1,1,18,1,TRUE,TRUE
155,treatment,2026-06-04,4,56,0.75,3,42.333333333333336,0.6666666666666666,TRUE,TRUE
156,treatment,2026-06-01,5,44.6,0.6,5,44.6,0.6,TRUE,TRUE
157,control,2026-06-02,1,64,1,1,64,1,TRUE,TRUE
158,treatment,2026-06-04,2,52.5,1,2,52.5,1,TRUE,TRUE
159,control,2026-06-01,2,56.5,0.5,2,56.5,0.5,TRUE,TRUE
160,control,2026-06-05,1,45,1,1,45,1,TRUE,TRUE
161,control,2026-06-04,7,27.1,0.857,7,27.142857142857142,0.8571428571428571,TRUE,TRUE
162,treatment,2026-06-04,2,55,1,2,55,1,TRUE,TRUE
163,treatment,2026-06-04,3,39.3,1,3,39.333333333333336,1,TRUE,TRUE
164,control,2026-06-04,1,36,1,1,36,1,TRUE,TRUE
165,control,2026-06-03,2,37,1,2,37,1,TRUE,TRUE
166,control,2026-06-04,5,37,0.8,5,37,0.8,TRUE,TRUE
167,control,2026-06-05,4,39.5,0.75,4,39.5,0.75,TRUE,TRUE
168,treatment,2026-06-05,0,NA,NA,0,NA,NA,FALSE,FALSE
169,control,2026-06-02,2,17,1,2,17,1,TRUE,TRUE
170,treatment,2026-06-03,3,52.7,0.667,3,52.666666666666664,0.6666666666666666,TRUE,TRUE
171,control,2026-06-03,6,32,0.667,6,32,0.6666666666666666,TRUE,TRUE
172,treatment,2026-06-04,3,40,1,3,40,1,TRUE,TRUE
173,treatment,2026-06-03,1,37,1,1,37,1,TRUE,TRUE
174,treatment,2026-06-01,4,56.2,0.75,4,56.25,0.75,TRUE,TRUE
175,control,2026-06-02,1,16,1,1,16,1,TRUE,TRUE
176,treatment,2026-06-04,1,77,1,1,77,1,TRUE,TRUE
177,treatment,2026-06-03,2,70,1,2,70,1,TRUE,TRUE
178,control,2026-06-03,3,37.7,0.667,3,37.666666666666664,0.6666666666666666,TRUE,TRUE
179,treatment,2026-06-03,1,14,1,1,14,1,TRUE,TRUE
180,treatment,2026-06-02,0,NA,NA,0,NA,NA,FALSE,FALSE
181,treatment,2026-06-03,5,55.4,1,5,55.4,1,TRUE,TRUE
182,control,2026-06-04,0,NA,NA,0,NA,NA,FALSE,FALSE
183,control,2026-06-02,10,32,0.6,9,33.55555555555556,0.5555555555555556,TRUE,TRUE
184,control,2026-06-04,8,29,0.5,8,29,0.5,TRUE,TRUE
185,treatment,2026-06-03,3,52.7,0.667,3,52.666666666666664,0.6666666666666666,TRUE,TRUE
186,treatment,2026-06-02,5,58,1,5,58,1,TRUE,TRUE
187,control,2026-06-01,2,35,0.5,2,35,0.5,TRUE,TRUE
188,treatment,2026-06-01,1,151,1,1,151,1,TRUE,TRUE
189,treatment,2026-06-05,1,61,0,1,61,0,TRUE,TRUE
190,control,2026-06-03,1,31,1,1,31,1,TRUE,TRUE
191,control,2026-06-05,7,39.4,0.714,7,39.42857142857143,0.7142857142857143,TRUE,TRUE
192,control,2026-06-05,7,24.4,0.857,6,25.666666666666668,0.8333333333333334,TRUE,TRUE
193,treatment,2026-06-04,6,50.2,0.667,5,50,0.8,TRUE,TRUE
194,control,2026-06-03,2,52.5,0.5,2,52.5,0.5,TRUE,TRUE
195,control,2026-06-02,2,28.5,0.5,2,28.5,0.5,TRUE,TRUE
196,treatment,2026-06-02,9,69.2,0.778,9,69.22222222222223,0.7777777777777778,TRUE,TRUE
197,control,2026-06-03,0,NA,NA,0,NA,NA,FALSE,FALSE
198,treatment,2026-06-01,8,36.6,0.75,8,36.625,0.75,TRUE,TRUE
199,control,2026-06-04,1,15,1,1,15,1,TRUE,TRUE
200,control,2026-06-01,2,40.5,1,2,40.5,1,TRUE,TRUE
201,control,2026-06-01,1,84,1,1,84,1,TRUE,TRUE
202,control,2026-06-05,5,36,0.6,5,36,0.6,TRUE,TRUE
203,control,2026-06-02,0,NA,NA,0,NA,NA,FALSE,FALSE
204,control,2026-06-01,5,30.6,1,5,30.6,1,TRUE,TRUE
205,treatment,2026-06-01,4,93.5,0.75,4,93.5,0.75,TRUE,TRUE
206,control,2026-06-02,1,18,0,1,18,0,TRUE,TRUE
207,control,2026-06-02,1,52,0,1,52,0,TRUE,TRUE
208,treatment,2026-06-05,2,50,1,2,50,1,TRUE,TRUE
209,control,2026-06-01,6,28.8,0.667,6,28.833333333333332,0.6666666666666666,TRUE,TRUE
210,control,2026-06-04,1,19,1,1,19,1,TRUE,TRUE
211,treatment,2026-06-02,1,50,1,1,50,1,TRUE,TRUE
212,control,2026-06-02,1,47,1,1,47,1,TRUE,TRUE
213,treatment,2026-06-01,0,NA,NA,0,NA,NA,FALSE,FALSE
214,control,2026-06-05,0,NA,NA,0,NA,NA,FALSE,FALSE
215,treatment,2026-06-01,2,33.5,0.5,2,33.5,0.5,TRUE,TRUE
216,control,2026-06-04,4,19,0.75,4,19,0.75,TRUE,TRUE
217,treatment,2026-06-05,8,34.2,0.875,7,29.714285714285715,0.8571428571428571,TRUE,TRUE
218,treatment,2026-06-01,4,40.8,1,4,40.75,1,TRUE,TRUE
219,treatment,2026-06-04,3,53.7,0.667,3,53.666666666666664,0.6666666666666666,TRUE,TRUE
220,control,2026-06-01,0,NA,NA,0,NA,NA,FALSE,FALSE
221,treatment,2026-06-04,7,43.9,0.714,6,45.5,0.8333333333333334,TRUE,TRUE
222,control,2026-06-03,6,27.8,1,5,32.4,1,TRUE,TRUE
223,treatment,2026-06-04,1,24,1,1,24,1,TRUE,TRUE
224,control,2026-06-02,0,NA,NA,0,NA,NA,FALSE,FALSE
225,treatment,2026-06-04,1,22,1,1,22,1,TRUE,TRUE
226,control,2026-06-01,1,55,0,1,55,0,TRUE,TRUE
227,control,2026-06-03,0,NA,NA,0,NA,NA,FALSE,FALSE
228,treatment,2026-06-03,4,35.8,0.75,4,35.75,0.75,TRUE,TRUE
229,control,2026-06-02,7,30.4,0.857,7,30.428571428571427,0.8571428571428571,TRUE,TRUE
230,control,2026-06-02,2,23,1,2,23,1,TRUE,TRUE
231,control,2026-06-05,6,38.3,1,5,35.8,1,TRUE,TRUE
232,control,2026-06-05,1,17,0,1,17,0,TRUE,TRUE
233,treatment,2026-06-02,4,28.8,0.75,3,24.333333333333332,0.6666666666666666,TRUE,TRUE
234,control,2026-06-05,1,29,1,1,29,1,TRUE,TRUE
235,treatment,2026-06-01,3,46.7,1,3,46.666666666666664,1,TRUE,TRUE
236,control,2026-06-03,2,67.5,0.5,1,18,0,TRUE,TRUE
237,treatment,2026-06-01,2,62.5,1,2,62.5,1,TRUE,TRUE
238,treatment,2026-06-05,4,34.8,1,4,34.75,1,TRUE,TRUE
239,treatment,2026-06-02,2,30.5,1,2,30.5,1,TRUE,TRUE
240,control,2026-06-02,4,45,0.75,4,45,0.75,TRUE,TRUE
241,treatment,2026-06-03,2,56.5,0.5,2,56.5,0.5,TRUE,TRUE
242,treatment,2026-06-04,4,63.8,0.75,4,63.75,0.75,TRUE,TRUE
243,treatment,2026-06-01,4,48.5,0.5,4,48.5,0.5,TRUE,TRUE
244,control,2026-06-05,2,20.5,0.5,2,20.5,0.5,TRUE,TRUE
245,treatment,2026-06-01,6,33.2,0.5,6,33.166666666666664,0.5,TRUE,TRUE
246,control,2026-06-01,13,32.4,0.462,13,32.38461538461539,0.46153846153846156,TRUE,TRUE
247,control,2026-06-04,3,59.7,0.667,2,82,1,TRUE,TRUE
248,treatment,2026-06-01,1,28,1,1,28,1,TRUE,TRUE
249,control,2026-06-04,8,26.1,0.625,7,25,0.5714285714285714,TRUE,TRUE
250,control,2026-06-03,7,35.1,0.857,7,35.142857142857146,0.8571428571428571,TRUE,TRUE
251,treatment,2026-06-01,3,48.7,0.667,3,48.666666666666664,0.6666666666666666,TRUE,TRUE
252,treatment,2026-06-05,1,61,1,1,61,1,TRUE,TRUE
253,control,2026-06-05,2,24,0.5,2,24,0.5,TRUE,TRUE
254,control,2026-06-02,1,46,1,1,46,1,TRUE,TRUE
255,treatment,2026-06-02,3,53.3,0.667,3,53.333333333333336,0.6666666666666666,TRUE,TRUE
256,treatment,2026-06-03,3,78.7,0.667,3,78.66666666666667,0.6666666666666666,TRUE,TRUE
257,control,2026-06-05,3,47.3,0.667,3,47.333333333333336,0.6666666666666666,TRUE,TRUE
258,treatment,2026-06-05,4,38,0.5,3,37.666666666666664,0.6666666666666666,TRUE,TRUE
259,control,2026-06-05,3,45.7,1,3,45.666666666666664,1,TRUE,TRUE
260,control,2026-06-02,1,36,0,1,36,0,TRUE,TRUE
261,control,2026-06-04,0,NA,NA,0,NA,NA,FALSE,FALSE
262,treatment,2026-06-03,0,NA,NA,0,NA,NA,FALSE,FALSE
263,treatment,2026-06-03,4,30,0.75,4,30,0.75,TRUE,TRUE
264,control,2026-06-01,1,17,1,1,17,1,TRUE,TRUE
265,control,2026-06-03,0,NA,NA,0,NA,NA,FALSE,FALSE
266,control,2026-06-02,2,27.5,0.5,2,27.5,0.5,TRUE,TRUE
267,treatment,2026-06-03,1,72,1,1,72,1,TRUE,TRUE
268,treatment,2026-06-01,4,53,0.75,4,53,0.75,TRUE,TRUE
269,treatment,2026-06-02,1,30,1,1,30,1,TRUE,TRUE
270,treatment,2026-06-04,7,52.9,0.143,7,52.857142857142854,0.14285714285714285,TRUE,TRUE
271,treatment,2026-06-04,0,NA,NA,0,NA,NA,FALSE,FALSE
272,treatment,2026-06-03,1,19,0,0,NA,NA,FALSE,TRUE
273,control,2026-06-01,1,45,1,1,45,1,TRUE,TRUE
274,control,2026-06-02,6,33.7,0.167,6,33.666666666666664,0.16666666666666666,TRUE,TRUE
275,treatment,2026-06-04,4,39.8,0.5,4,39.75,0.5,TRUE,TRUE
276,treatment,2026-06-04,5,40.2,0.6,4,42.5,0.5,TRUE,TRUE
277,treatment,2026-06-03,7,64.6,0.857,7,64.57142857142857,0.8571428571428571,TRUE,TRUE
278,treatment,2026-06-05,5,33.6,0.6,5,33.6,0.6,TRUE,TRUE
279,treatment,2026-06-02,5,55.2,0.6,5,55.2,0.6,TRUE,TRUE
280,control,2026-06-03,2,45,1,1,55,1,TRUE,TRUE
281,control,2026-06-04,3,21.3,0.667,3,21.333333333333332,0.6666666666666666,TRUE,TRUE
282,control,2026-06-02,1,20,1,1,20,1,TRUE,TRUE
283,treatment,2026-06-01,0,NA,NA,0,NA,NA,FALSE,FALSE
284,treatment,2026-06-05,7,58.4,0.714,7,58.42857142857143,0.7142857142857143,TRUE,TRUE
285,control,2026-06-04,5,27.4,0.8,5,27.4,0.8,TRUE,TRUE
286,control,2026-06-03,2,53,1,1,58,1,TRUE,TRUE
287,treatment,2026-06-02,2,48,0.5,2,48,0.5,TRUE,TRUE
288,treatment,2026-06-04,3,47.7,0.667,3,47.666666666666664,0.6666666666666666,TRUE,TRUE
289,treatment,2026-06-04,1,31,1,1,31,1,TRUE,TRUE
290,treatment,2026-06-05,2,49.5,0.5,2,49.5,0.5,TRUE,TRUE
291,control,2026-06-02,4,23.5,0.75,4,23.5,0.75,TRUE,TRUE
292,treatment,2026-06-03,1,26,1,1,26,1,TRUE,TRUE
293,control,2026-06-04,2,33,0.5,2,33,0.5,TRUE,TRUE
294,control,2026-06-01,2,21.5,0.5,2,21.5,0.5,TRUE,TRUE
295,control,2026-06-02,4,48.2,0.75,4,48.25,0.75,TRUE,TRUE
296,control,2026-06-04,3,29.3,1,3,29.333333333333332,1,TRUE,TRUE
297,treatment,2026-06-01,3,40.7,1,3,40.666666666666664,1,TRUE,TRUE
298,treatment,2026-06-02,1,36,1,1,36,1,TRUE,TRUE
299,control,2026-06-02,1,53,1,1,53,1,TRUE,TRUE
300,control,2026-06-02,4,23.5,0.5,4,23.5,0.5,TRUE,TRUE
301,control,2026-06-01,0,NA,NA,0,NA,NA,FALSE,FALSE
302,treatment,2026-06-03,1,18,1,1,18,1,TRUE,TRUE
303,treatment,2026-06-03,3,46,0.667,3,46,0.6666666666666666,TRUE,TRUE
304,control,2026-06-04,1,20,1,1,20,1,TRUE,TRUE
305,treatment,2026-06-04,3,65.7,0.333,3,65.66666666666667,0.3333333333333333,TRUE,TRUE
306,treatment,2026-06-02,5,64,1,5,64,1,TRUE,TRUE
307,control,2026-06-03,1,23,0,1,23,0,TRUE,TRUE
308,control,2026-06-05,3,36.3,1,3,36.333333333333336,1,TRUE,TRUE
309,treatment,2026-06-03,6,46.5,0.667,6,46.5,0.6666666666666666,TRUE,TRUE
310,control,2026-06-04,2,41,0.5,2,41,0.5,TRUE,TRUE
311,treatment,2026-06-02,9,53.4,0.556,9,53.44444444444444,0.5555555555555556,TRUE,TRUE
312,control,2026-06-02,5,23.2,0.6,5,23.2,0.6,TRUE,TRUE
313,control,2026-06-05,2,68.5,0.5,2,68.5,0.5,TRUE,TRUE
314,treatment,2026-06-01,2,51.5,0,2,51.5,0,TRUE,TRUE
315,treatment,2026-06-03,4,32,0.5,4,32,0.5,TRUE,TRUE
316,control,2026-06-02,7,49.4,0.857,7,49.42857142857143,0.8571428571428571,TRUE,TRUE
317,treatment,2026-06-01,7,40.4,0.714,7,40.42857142857143,0.7142857142857143,TRUE,TRUE
318,control,2026-06-05,6,27.7,0.833,6,27.666666666666668,0.8333333333333334,TRUE,TRUE
319,control,2026-06-05,2,24,1,2,24,1,TRUE,TRUE
320,treatment,2026-06-04,2,70.5,0.5,2,70.5,0.5,TRUE,TRUE
321,control,2026-06-03,3,35,0.667,3,35,0.6666666666666666,TRUE,TRUE
322,control,2026-06-05,2,24,0,1,13,0,TRUE,TRUE
323,control,2026-06-01,2,23,0.5,2,23,0.5,TRUE,TRUE
324,control,2026-06-04,5,32.6,0.6,5,32.6,0.6,TRUE,TRUE
325,treatment,2026-06-01,7,40.9,0.714,7,40.857142857142854,0.7142857142857143,TRUE,TRUE
326,treatment,2026-06-01,1,23,1,1,23,1,TRUE,TRUE
327,control,2026-06-04,1,39,0,1,39,0,TRUE,TRUE
328,treatment,2026-06-01,1,189,1,1,189,1,TRUE,TRUE
329,control,2026-06-01,1,40,1,1,40,1,TRUE,TRUE
330,control,2026-06-05,13,29.3,0.692,13,29.307692307692307,0.6923076923076923,TRUE,TRUE
331,control,2026-06-01,2,26,1,2,26,1,TRUE,TRUE
332,treatment,2026-06-02,4,35.5,0.75,4,35.5,0.75,TRUE,TRUE
333,control,2026-06-05,0,NA,NA,0,NA,NA,FALSE,FALSE
334,control,2026-06-05,4,32,0.5,4,32,0.5,TRUE,TRUE
335,treatment,2026-06-03,11,59.5,0.818,10,61.3,0.8,TRUE,TRUE
336,control,2026-06-05,1,84,1,1,84,1,TRUE,TRUE
337,control,2026-06-03,5,21.8,0.8,5,21.8,0.8,TRUE,TRUE
338,control,2026-06-05,4,35.8,0.5,3,31.666666666666668,0.3333333333333333,TRUE,TRUE
339,treatment,2026-06-03,0,NA,NA,0,NA,NA,FALSE,FALSE
340,treatment,2026-06-05,0,NA,NA,0,NA,NA,FALSE,FALSE
341,control,2026-06-01,5,29.6,0.4,5,29.6,0.4,TRUE,TRUE
342,control,2026-06-02,1,57,1,1,57,1,TRUE,TRUE
343,treatment,2026-06-04,1,49,1,1,49,1,TRUE,TRUE
344,treatment,2026-06-05,2,42,1,2,42,1,TRUE,TRUE
345,control,2026-06-05,4,30,0.75,4,30,0.75,TRUE,TRUE
346,treatment,2026-06-04,0,NA,NA,0,NA,NA,FALSE,FALSE
